Word,Polarity
فرت, Negative
استنزاف, Negative
فرج, Positive
فرح, Positive
تكسر الدنيا, Positive
نحفز, Positive
ولول, Negative
نستنزف, Negative
امثل, Negative
نعتقلو, Negative
مستتره, Negative
اوساخ, Negative
تجرو, Negative
تريحني, Positive
اسوء, Negative
ربنا معاك, Positive
ولاد مره, Negative
مبهدل, Negative
امتع, Positive
عزيمه, Positive
فرم, Negative
اسوا, Negative
يكرمني, Positive
يبيح, Negative
يتخرس, Negative
رقاص, Negative
تجرح, Negative
سلبيات, Negative
فرط, Negative
مهدود, Negative
اباحيه, Negative
خطيئه, Negative
فسد, Negative
مش قادر, Negative
يستحمل, Negative
يعيق, Negative
بيحبسهم, Negative
بضيع, Negative
موزون, Positive
فشخ, Negative
بهيج, Positive
فشر, Negative
فسق, Negative
يعيط, Negative
فسل, Negative
انتهازي, Negative
قله ادبك, Negative
اشاع, Negative
بهيم, Negative
متعه, Positive
خاطف, Negative
فشل, Negative
سعران, Negative
مافقناش, Negative
مغتاب, Negative
عاطل, Negative
امان, Positive
نخذلكم, Negative
حاجه غلط, Negative
فضح, Negative
متعب, Negative
يعور, Negative
المر, Negative
بهوس, Negative
خاطئ, Negative
يسامح, Positive
ممتاز, Positive
نستنجد, Negative
اسقط, Negative
مدايقه, Negative
توفيق, Positive
خاصم, Negative
عاصف, Negative
اسكت, Negative
فضل, Positive
لا أساس له, Negative
باحترمك, Positive
تدافع, Negative
تنتقم, Negative
يرزقك, Positive
معندهوش ضمير, Negative
عاشت, Positive
ربنا يفتح عليك, Positive
ربنا يفتح عليه, Positive
عاشق, Positive
اسفي, Negative
سواد, Negative
ناكر للجميل, Negative
يبكي, Negative
لاسع, Negative
اعجبني, Positive
باع عقله, Negative
متحالف, Negative
عياط, Negative
هرجل, Negative
خالف, Negative
صايعين, Negative
يغضب, Negative
زهايمر, Negative
خيبه, Negative
ترحمك, Positive
بننسي بسرعه, Negative
متحامل, Negative
ترحمه, Positive
نتهان, Negative
دعاوي, Negative
كومبارس, Negative
كذبتم, Negative
تنتقد, Negative
سفاقه, Negative
خيبت, Negative
ليله سوده, Negative
عاقل, Positive
اياكم, Negative
سوسه, Negative
خابور, Negative
نجتهد, Positive
مولتوف, Negative
ههنيئا لنا, Positive
تافهه, Negative
طفران, Negative
نخبط, Negative
ابن وسخه, Negative
تسليط, Negative
ذعر, Negative
نخاف, Negative
هرتل, Negative
عاقب, Negative
نفاقك, Negative
اتسجنتم, Negative
لايفوتكم, Positive
بقتلو, Negative
ابهار, Positive
يشتمو, Negative
بوسه, Positive
رويبض, Negative
خطيرا, Negative
مشانق, Negative
متكامل, Positive
متقن, Positive
نحمي, Positive
رفيق, Positive
مفخره, Positive
معتقلين, Negative
ههنيئا لكم, Positive
تقدرك, Positive
تقليدي, Negative
نتنيل, Negative
توب علينا يا رب, Negative
يغرق, Negative
وسيم, Positive
هربو, Negative
يتجاهل, Negative
حسبي الله ونعم الوكيل, Negative
موكوس, Negative
اشحت, Negative
انا غلطان, Negative
بيعيط من الفرحه, Positive
بورك, Positive
تسليح, Negative
صباحكم سكر, Positive
هربت, Negative
خذلتكم, Negative
عابوك, Negative
لزيزه, Positive
تسلمي, Positive
اجمل التهاني, Positive
تجسس, Negative
سطحي, Negative
حنينه, Positive
بيزعق, Negative
يتطاول, Negative
سلام نفسي, Positive
ترمادول, Negative
هراء, Negative
تماطل, Negative
يتعاطوها, Negative
اشجع, Positive
وسوس, Negative
غير مناسب, Negative
صباحكم سعاده, Positive
يضربك, Negative
اشتم, Negative
توفقك, Positive
شايل من, Negative
سفاله, Negative
غلاسه, Negative
قدم الخير, Positive
تحسسو, Negative
تخذلكم, Negative
بن كلب, Negative
طرمخ, Negative
بيلطش, Negative
استفزني, Negative
العن, Negative
يطمئن, Positive
البلا الأرزق, Negative
نحذر, Negative
يكحلها عماها, Negative
